name,dom,V,E,MS_bef_MoveBlockG,MS_aft_MoveBlockG,MS_bef_MoveBlockF,MS_aft_MoveBlockF,SPAC_bef_MoveBlockG,SPAC_aft_MoveBlockG,SPAC_bef_MoveBlockF,SPAC_aft_MoveBlockF,SHEEP_bef_MoveBlockG,SHEEP_aft_MoveBlockG,SHEEP_bef_MoveBlockF,SHEEP_aft_MoveBlockF,NE_bef_MoveBlockG,NE_aft_MoveBlockG,NE_bef_MoveBlockF,NE_aft_MoveBlockF
ABACUS-shell-hd,misc,23412,97536,1.17525,1.11802,1.17525,1.11802,1.16393,1.14783,1.16393,1.14753,1.33239,1.32005,1.33239,1.3145,1.14108,1.14100,1.14108,1.13872
ABACUS-shell-ld,misc,23412,97536,1.17525,1.11802,1.17525,1.11802,1.16393,1.14783,1.16393,1.14753,1.33239,1.32005,1.33239,1.3145,1.14612,1.14548,1.14612,1.14411
ABACUS-shell-md,misc,23412,97536,1.17525,1.11802,1.17525,1.11802,1.16393,1.14783,1.16393,1.14753,1.33239,1.32005,1.33239,1.3145,1.14817,1.14709,1.14817,1.14642
ABACUS-shell-ud,misc,23412,97536,1.17525,1.11802,1.17525,1.11802,1.16393,1.14783,1.16393,1.14753,1.33239,1.32005,1.33239,1.3145,1.14288,1.14155,1.14288,1.14083
abtaha1,misc,14596,51282,2.60099,1.57523,2.60099,1.57810,1.59047,1.45781,1.59047,1.45746,1.43724,1.43567,1.43724,1.43567,1.59886,1.54724,1.59886,1.51939
abtaha2,misc,37932,137205,2.55913,1.40868,2.55913,1.41479,1.41356,1.32986,1.41356,1.32986,1.30982,1.30897,1.30982,1.30897,1.43459,1.37090,1.43459,1.36513
actor-collaboration,misc,68679,68678,1.00092,1.00092,1.00092,1.00001,1.00092,1.00092,1.00092,1.00092,1.0009,1.0009,1.0009,1.0009,1.00000,1.00000,1.00000,1.00000
actor-movie,misc,127824,127823,1.00049,1.00049,1.00049,1.00001,1.00049,1.00049,1.00049,1.00049,1.00049,1.00049,1.00049,1.00049,1.00000,1.00000,1.00000,1.00000
add20,misc,2395,7462,2.05595,1.39875,2.05595,1.38455,1.61380,1.41522,1.61380,1.40458,1.51524,1.34823,1.51524,1.35866,1.47056,1.39794,1.47056,1.36326
add32,misc,4960,9462,1.07540,1.03327,1.07540,1.03266,1.07964,1.04476,1.07964,1.04415,1.03669,1.03669,1.03669,1.03044,1.08427,1.07238,1.08427,1.06425
adder-dcop-01,misc,1813,6294,2.00496,1.40265,2.00496,1.24766,1.82085,1.49315,1.82085,1.47290,1.43905,1.39713,1.43905,1.36735,1.70877,1.53999,1.70877,1.44994
adder-dcop-02,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.72863,1.64891,1.72863,1.37010
